All Packages,I9500-sysconf,slp-basefw,slp-sensorfw,slp-netfw,slp-winfw,slp-mmfw,slp-uifw,slp-api,slp-appfw,slp-apps
libsofia-sip-ua0,,,,x,,,,,,
libsoup2.4,,,,x,,,,,,
libss-client,,x,,,,,,,,
libsttvlingo,,,,,,x,,,,
libsvi,,,,,,x,,,,
libsync-common,,x,,,,,,,,
libsys-assert,,x,,,,,,,,
libtalloc,,x,,,,,,,,
libtasn1,,x,,,,,,,,
libtasn1-tools,,x,,,,,,,,
libtheora,,x,,,,,,,,
libttssmt,,,,,,x,,,,
libttsvlingo,,,,,,x,,,,
libudev,,x,,,,,,,,
libug-calendar-efl,,,,,,,,,,x
libug-calendar-efl,,,,,,,,,,x
libug-contacts-efl,,,,,,,,,,x
libug-myfile-efl,,,,,,,,,,x
libug-phone-efl,,,,,,,,,,x
libug-phone-efl,,,,,,,,,,x
libug-samsung-sso-efl,,,,,,,,,,x
libug-setting-allshare-efl,,,,,,,,,,x
libug-setting-theme-efl,,,,,,,,,,x
libug-worldclock-efl,,,,,,,,,,x
libui-idlecapture,,x,,,,,,,,
libuifx-pageflip,,x,,,,,,,,
libump,,x,,,,,,,,
libusb,,x,,,,,,,,
libuw-imap-toolkit,,x,,,,,,,,
libv4l2codec,,,,,,x,,,,
libvorbis,,,,,,x,,,,
libwbxml2,,x,,,,,,,,
libx11,,,,,x,,,,,
libxau,,,,,x,,,,,
libxaw,,,,,x,,,,,
libxcb,,,,,x,,,,,
libxcb-atom,,,,,x,,,,,
libxcb-aux,,,,,x,,,,,
libxcb-event,,,,,x,,,,,
libxcb-icccm,,,,,x,,,,,
libxcb-image,,,,,x,,,,,
libxcb-keysyms,,,,,x,,,,,
libxcb-property,,,,,x,,,,,
libxcb-render-util,,,,,x,,,,,
libxcb-reply,,,,,x,,,,,
libxcomposite,,,,,x,,,,,
libxcursor,,,,,x,,,,,
libxdamage,,,,,x,,,,,
libxdmcp,,,,,x,,,,,
libxext,,,,,x,,,,,
libxfixes,,,,,x,,,,,
libxfont,,,,,x,,,,,
libxft,,,,,x,,,,,
libxgesture,,,,,x,,,,,
libxi,,,,,x,,,,,
libxinerama,,,,,x,,,,,
libxkbfile,,,,,x,,,,,
libxmu,,,,,x,,,,,
libxpm,,,,,x,,,,,
libxpsapi,,,,,x,,,,,
libxrandr,,,,,x,,,,,
libxrender,,,,,x,,,,,
libxres,,,,,x,,,,,
libxt,,,,,x,,,,,
libxtrap,,,,,x,,,,,
libxtst,,,,,x,,,,,
libxv,,,,,x,,,,,
libxxf86dga,,,,,x,,,,,
libxxf86misc,,,,,x,,,,,
libxxf86vm,,,,,x,,,,,
libys,,x,,,,,,,,
libzypp,,x,,,,,,,,
live-clock,,,,,,,,,,x
live-dailybriefing-accuweather,,,,,,,,,,x
live-dailybriefing-apnews,,,,,,,,,,x
live-dailybriefing-yfinance,,,,,,,,,,x
live-data-provider,,,,,,,,,,x
live-email,,,,,,,,,,x
live-gallery,,,,,,,,,,x
live-magazine,,,,,,,,,,x
live-memo,,,,,,,,,,x
live-rss,,,,,,,,,,x
live-voicerecorder,,,,,,,,,,x
location-decarta,,,,x,,,,,,
location-geoclue-nominatim,,,,x,,,,,,
location-geoclue-pdr,,,,x,,,,,,
location-geoclue-xps,,,,x,,,,,,
location-gps-manager,,,,x,,,,,,
lock,,x,,,,,,,,
login,,x,,,,,,,,
loudmouth,,x,,,,,,,,
lsb,,x,,,,,,,,
ltrace,,x,,,,,,,,
lzo,,x,,,,,,,,
lzo-minilzo,,x,,,,,,,,
mdm-app,,,,,,,,,,x
mdm-server,,x,,,,,,,,
media-data,x,,,,,,,,,
media-server,,x,,,,,,,,
memo,,,,,,,,,,x
memps,,x,,,,,,,,
menu-daemon,,x,,,,,,,,
menu-screen,,,,,,,,,,x
message,,,,,,,,,,x
mfc-firmware,,x,,,,,,,,
mingetty,,x,,,,,,,,
mkdevnodes,,x,,,,,,,,
mmfs,,x,,,,,,,,
mmicheck,,x,,,,,,,,
mmicheck-core,,x,,,,,,,,
mms-plugin,,x,,,,,,,,
mobex-agent,,,,x,,,,,,
mobileap-agent,,,,x,,,,,,
mobileap-test,,,,x,,,,,,
mobilebae,,,,x,,,,,,
modem-firmware,,x,,,,,,,,
module-init-tools,,x,,,,,,,,
msg-service,,x,,,,,,,,
msg-service-tools,,x,,,,,,,,
mss-server,,x,,,,,,,,
mtd-utils,,x,,,,,,,,
mtdev,,x,,,,,,,,
mtools,,x,,,,,,,,
mtp-notification,,,,x,,,,,,
mtp-responder,,,,x,,,,,,
music-player,,,,,,,,,,x
my-account,,,,,,,,,,x
myfiles,,,,,,,,,,x
nasm,,x,,,,,,,,
nasm-rdoff,,x,,,,,,,,
native-installer,,x,,,,,,,,
newexchange,,x,,,,,,,,
nfc-app,,,,,,,,,,x
nfc-common-lib,,x,,,,,,,,
nfc-manager,,x,,,,,,,,
nfc-plugin-nxp,,x,,,,,,,,
nitz,,,,x,,,,,,
notification,,x,,,,,,,,
obexd,,,,x,,,,,,
oma-dm-service,,,,x,,,,,,
oma-dm-ui,,,,x,,,,,,
oma-ds-service,,,,x,,,,,,
oma-ds-ui,,,,x,,,,,,
openal-soft,,,,,,x,,,,
opencore-amr,,,,,,x,,,,
opendx-core,,x,,,,,,,,
opendx-desktop-notifier,,x,,,,,,,,
opengl-es,,x,,,,,,,,
opengl-es-mali400mp,x,,,,,,,,,
openobex,,,,x,,,,,,
openssh-client,,x,,,,,,,,
openssh-server,,x,,,,,,,,
oprofile,,x,,,,,,,,
pango,,x,,,,,,,,
panoramax-engine,,,,,,x,,,,
passwd,,x,,,,,,,,
pciutils,,x,,,,,,,,
phone,,,,,,,,,,x
phone-misc,,x,,,,,,,,
phoneutil,,x,,,,,,,,
picasa,,,,,,,,,,x
picsel-engine,,,,,,x,,,,
pixman,,x,,,,,,,,
pkgmgr,,x,,,,,,,,
pkgmgr-client,,x,,,,,,,,
pkgmgr-installer,,x,,,,,,,,
pkgmgr-server,,x,,,,,,,,
power-manager,,x,,,,,,,,
pulseaudio,,,,,,x,,,,
pulseaudio-libs,,,,,,x,,,,
pulseaudio-locale,,,,,,x,,,,
pulseaudio-module-bluetooth,,,,,,x,,,,
pulseaudio-module-x11,,,,,,x,,,,
pulseaudio-utils,,,,,,x,,,,
push-bin,,,,x,,,,,,
push-tool,,,,x,,,,,,
pwlock,,,,,,,,,,x
quickpanel,,,,,,,,,,x
ragel,,x,,,,,,,,
rcs-apps,,x,,,,,,,,
rfkill,,x,,,,,,,,
rss,,,,,,,,,,x
samsung-console-init,,x,,,,,,,,
samsung-locales-init,,x,,,,,,,,
samsung-network-init,,x,,,,,,,,
samsung-telnet-init,,x,,,,,,,,
sat-ui,,,,,,,,,,x
satsolver-tools,,,,x,,,,,,
save-ramdump,,x,,,,,,,,
